id,title,description,availability,condition,price,link,image_link,brand
LSR-001,Repisa Organizadora para Hojas de Color Tamaño Carta – 10 Espacios,Repisa en MDF de 3mm con 10 divisiones para organizar hojas de color tamaño carta. Armada y lista para usar. También disponible en piezas para armar tú mismo por $197 MXN — pregunta por WhatsApp.,in stock,new,231.00 MXN,https://assemoises-lgtm.github.io/catalogo-laser/#LSR-001,https://assemoises-lgtm.github.io/catalogo-laser/img/LSR-001.jpg,TALLER LÁSER
LSR-002,Organizador de Escritorio con Charolas y Porta Documentos,"Organizador de escritorio en MDF de 3mm con charolas escalonadas y porta documentos. Corte y ensamble a láser, hecho en México.",in stock,new,157.00 MXN,https://assemoises-lgtm.github.io/catalogo-laser/#LSR-002,https://assemoises-lgtm.github.io/catalogo-laser/img/LSR-002.jpg,TALLER LÁSER
LSR-003,Portalápices Apilable 3 Niveles,"Portalápices de 3 niveles perforados en MDF de 3mm, apilables y unidos con herraje metálico. Incluye tornillos y mariposas.",in stock,new,95.00 MXN,https://assemoises-lgtm.github.io/catalogo-laser/#LSR-003,https://assemoises-lgtm.github.io/catalogo-laser/img/LSR-003.jpg,TALLER LÁSER
LSR-004,Porta Vinilos y Rollos con Organizador de Accesorios,"Organizador para rollos de vinil con compartimentos divisores para accesorios. Fabricado en MDF de 3mm, corte y ensamble a láser.",in stock,new,453.00 MXN,https://assemoises-lgtm.github.io/catalogo-laser/#LSR-004,https://assemoises-lgtm.github.io/catalogo-laser/img/LSR-004.jpg,TALLER LÁSER
LSR-009,Bailarines,"Bailarines. Corte laser en MDF de 3mm, hecho en Mexico.",in stock,new,50.00 MXN,https://assemoises-lgtm.github.io/catalogo-laser/#LSR-009,https://assemoises-lgtm.github.io/catalogo-laser/img/LSR-009.jpg,TALLER LÁSER
LSR-010,Bailarín,"Bailarín. Corte laser en MDF de 3mm, hecho en Mexico.",in stock,new,50.00 MXN,https://assemoises-lgtm.github.io/catalogo-laser/#LSR-010,https://assemoises-lgtm.github.io/catalogo-laser/img/LSR-010.jpg,TALLER LÁSER
LSR-011,Bailarín,"Bailarín. Corte laser en MDF de 3mm, hecho en Mexico.",in stock,new,53.00 MXN,https://assemoises-lgtm.github.io/catalogo-laser/#LSR-011,https://assemoises-lgtm.github.io/catalogo-laser/img/LSR-011.jpg,TALLER LÁSER
LSR-012,Balancearce,"Balancearce. Corte laser en MDF de 3mm, hecho en Mexico.",in stock,new,50.00 MXN,https://assemoises-lgtm.github.io/catalogo-laser/#LSR-012,https://assemoises-lgtm.github.io/catalogo-laser/img/LSR-012.jpg,TALLER LÁSER
LSR-015,Base de caramelo,"Base de caramelo. Corte laser en MDF de 3mm, hecho en Mexico.",in stock,new,155.00 MXN,https://assemoises-lgtm.github.io/catalogo-laser/#LSR-015,https://assemoises-lgtm.github.io/catalogo-laser/img/LSR-015.jpg,TALLER LÁSER
LSR-016,Carousel,"Carousel. Corte laser en MDF de 3mm, hecho en Mexico.",in stock,new,98.00 MXN,https://assemoises-lgtm.github.io/catalogo-laser/#LSR-016,https://assemoises-lgtm.github.io/catalogo-laser/img/LSR-016.jpg,TALLER LÁSER
LSR-017,Carro,"Carro. Corte laser en MDF de 3mm, hecho en Mexico.",in stock,new,313.00 MXN,https://assemoises-lgtm.github.io/catalogo-laser/#LSR-017,https://assemoises-lgtm.github.io/catalogo-laser/img/LSR-017.jpg,TALLER LÁSER
LSR-018,Carro,"Carro. Corte laser en MDF de 3mm, hecho en Mexico.",in stock,new,207.00 MXN,https://assemoises-lgtm.github.io/catalogo-laser/#LSR-018,https://assemoises-lgtm.github.io/catalogo-laser/img/LSR-018.jpg,TALLER LÁSER
LSR-019,Carro,"Carro. Corte laser en MDF de 3mm, hecho en Mexico.",in stock,new,200.00 MXN,https://assemoises-lgtm.github.io/catalogo-laser/#LSR-019,https://assemoises-lgtm.github.io/catalogo-laser/img/LSR-019.jpg,TALLER LÁSER
LSR-020,Carro con caballo,"Carro con caballo. Corte laser en MDF de 3mm, hecho en Mexico.",in stock,new,194.00 MXN,https://assemoises-lgtm.github.io/catalogo-laser/#LSR-020,https://assemoises-lgtm.github.io/catalogo-laser/img/LSR-020.jpg,TALLER LÁSER
LSR-023,Costura y vestido,"Costura y vestido. Corte laser en MDF de 3mm, hecho en Mexico.",in stock,new,50.00 MXN,https://assemoises-lgtm.github.io/catalogo-laser/#LSR-023,https://assemoises-lgtm.github.io/catalogo-laser/img/LSR-023.jpg,TALLER LÁSER
LSR-024,Cupcake tower,"Cupcake tower. Corte laser en MDF de 3mm, hecho en Mexico.",in stock,new,50.00 MXN,https://assemoises-lgtm.github.io/catalogo-laser/#LSR-024,https://assemoises-lgtm.github.io/catalogo-laser/img/LSR-024.jpg,TALLER LÁSER
LSR-025,Enamorados,"Enamorados. Corte laser en MDF de 3mm, hecho en Mexico.",in stock,new,50.00 MXN,https://assemoises-lgtm.github.io/catalogo-laser/#LSR-025,https://assemoises-lgtm.github.io/catalogo-laser/img/LSR-025.jpg,TALLER LÁSER
LSR-026,Enamorados,"Enamorados. Corte laser en MDF de 3mm, hecho en Mexico.",in stock,new,50.00 MXN,https://assemoises-lgtm.github.io/catalogo-laser/#LSR-026,https://assemoises-lgtm.github.io/catalogo-laser/img/LSR-026.jpg,TALLER LÁSER
LSR-028,Hada,"Hada. Corte laser en MDF de 3mm, hecho en Mexico.",in stock,new,50.00 MXN,https://assemoises-lgtm.github.io/catalogo-laser/#LSR-028,https://assemoises-lgtm.github.io/catalogo-laser/img/LSR-028.jpg,TALLER LÁSER
LSR-030,Mujer,"Mujer. Corte laser en MDF de 3mm, hecho en Mexico.",in stock,new,50.00 MXN,https://assemoises-lgtm.github.io/catalogo-laser/#LSR-030,https://assemoises-lgtm.github.io/catalogo-laser/img/LSR-030.jpg,TALLER LÁSER
LSR-031,Mujer torre eiffel,"Mujer torre eiffel. Corte laser en MDF de 3mm, hecho en Mexico.",in stock,new,50.00 MXN,https://assemoises-lgtm.github.io/catalogo-laser/#LSR-031,https://assemoises-lgtm.github.io/catalogo-laser/img/LSR-031.jpg,TALLER LÁSER
LSR-033,Nina,"Nina. Corte laser en MDF de 3mm, hecho en Mexico.",in stock,new,50.00 MXN,https://assemoises-lgtm.github.io/catalogo-laser/#LSR-033,https://assemoises-lgtm.github.io/catalogo-laser/img/LSR-033.jpg,TALLER LÁSER
LSR-034,Porta caramelo,"Porta caramelo. Corte laser en MDF de 3mm, hecho en Mexico.",in stock,new,64.00 MXN,https://assemoises-lgtm.github.io/catalogo-laser/#LSR-034,https://assemoises-lgtm.github.io/catalogo-laser/img/LSR-034.jpg,TALLER LÁSER
LSR-035,Porta cupcakes,"Porta cupcakes. Corte laser en MDF de 3mm, hecho en Mexico.",in stock,new,169.00 MXN,https://assemoises-lgtm.github.io/catalogo-laser/#LSR-035,https://assemoises-lgtm.github.io/catalogo-laser/img/LSR-035.jpg,TALLER LÁSER
LSR-036,Propuesta matrimonio,"Propuesta matrimonio. Corte laser en MDF de 3mm, hecho en Mexico.",in stock,new,50.00 MXN,https://assemoises-lgtm.github.io/catalogo-laser/#LSR-036,https://assemoises-lgtm.github.io/catalogo-laser/img/LSR-036.jpg,TALLER LÁSER
LSR-039,Stand caramelo,"Stand caramelo. Corte laser en MDF de 3mm, hecho en Mexico.",in stock,new,176.00 MXN,https://assemoises-lgtm.github.io/catalogo-laser/#LSR-039,https://assemoises-lgtm.github.io/catalogo-laser/img/LSR-039.jpg,TALLER LÁSER
LSR-041,Vaca,"Vaca. Corte laser en MDF de 3mm, hecho en Mexico.",in stock,new,50.00 MXN,https://assemoises-lgtm.github.io/catalogo-laser/#LSR-041,https://assemoises-lgtm.github.io/catalogo-laser/img/LSR-041.jpg,TALLER LÁSER
LSR-005,Carro de Mesa de Dulces,"Carro decorativo de mesa de dulces (candy cart). Corte laser en MDF de 3mm, hecho en Mexico. Precio estimado, pendiente de confirmar medidas exactas.",in stock,new,368.00 MXN,https://assemoises-lgtm.github.io/catalogo-laser/#LSR-005,https://assemoises-lgtm.github.io/catalogo-laser/img/LSR-005.jpg,TALLER LÁSER
